"","jaar","geo","gdp","gas"
"510","2016","HR",11100,5.9
"511","2016","HU",11300,6.3
"512","2016","IE",53100,13.5
"513","2016","IS",37900,16.7
"514","2016","IT",26000,7.2
"515","2016","LT",12000,7.1
"516","2016","LU",80900,19.8
"517","2016","LV",11000,6
"518","2016","MT",20000,5
"519","2016","NL",39800,12.2
"520","2016","NO",68200,10.5
"521","2016","PL",11300,10.5
"522","2016","PT",17000,6.9
"523","2016","RO",7700,5.8
"524","2016","SE",42500,5.6
"525","2016","SI",18500,8.6
"526","2016","SK",14600,7.6
"527","2016","UK",31800,7.9
